,stop_name,line_num,stop_id,route_id,stop_lat,stop_lon,node_id
256,63 Dr - Rego Park,3,G10,E,40.729846,-73.861604,G10_E
257,63 Dr - Rego Park,3,G10,M,40.729846,-73.861604,G10_M
258,63 Dr - Rego Park,3,G10,R,40.729846,-73.861604,G10_R
259,65 St,3,G15,E,40.749669,-73.898453,G15_E
260,65 St,3,G15,M,40.749669,-73.898453,G15_M
261,65 St,3,G15,R,40.749669,-73.898453,G15_R
262,66 St - Lincoln Center,3,124,1,40.77344,-73.982209,124_1
263,66 St - Lincoln Center,3,124,2,40.77344,-73.982209,124_2
264,66 St - Lincoln Center,3,124,5,40.77344,-73.982209,124_5
265,67 Av,3,G09,E,40.726523,-73.852719,G09_E
266,67 Av,3,G09,M,40.726523,-73.852719,G09_M
267,67 Av,3,G09,R,40.726523,-73.852719,G09_R
268,68 St - Hunter College,2,628,4,40.768141,-73.96387,628_4
269,68 St - Hunter College,2,628,6,40.768141,-73.96387,628_6
270,69 St,1,711,7,40.746325,-73.896403,711_7
271,7 Av,7,D14,B,40.762862,-73.981637,D14_B
272,7 Av,7,D25,B,40.67705,-73.972367,D25_B
273,7 Av,7,D14,D,40.762862,-73.981637,D14_D
274,7 Av,7,D14,E,40.762862,-73.981637,D14_E
275,7 Av,7,F24,F,40.666271,-73.980305,F24_F
276,7 Av,7,F24,G,40.666271,-73.980305,F24_G
277,7 Av,7,D25,Q,40.67705,-73.972367,D25_Q
278,71 St,1,B17,D,40.619589,-73.998864,B17_D
279,72 St,10,123,1,40.778453,-73.98197,123_1
280,72 St,10,123,2,40.778453,-73.98197,123_2
281,72 St,10,123,3,40.778453,-73.98197,123_3
282,72 St,10,123,5,40.778453,-73.98197,123_5
283,72 St,10,A22,A,40.775594,-73.97641,A22_A
284,72 St,10,A22,B,40.775594,-73.97641,A22_B
285,72 St,10,A22,C,40.775594,-73.97641,A22_C
286,72 St,10,Q03,N,40.768799,-73.958424,Q03_N
287,72 St,10,Q03,Q,40.768799,-73.958424,Q03_Q
288,72 St,10,Q03,R,40.768799,-73.958424,Q03_R
289,74 St - Broadway,1,710,7,40.746848,-73.891394,710_7
290,75 Av,2,F07,E,40.718331,-73.837324,F07_E
291,75 Av,2,F07,F,40.718331,-73.837324,F07_F
292,75 St,1,J17,J,40.691324,-73.867139,J17_J
293,77 St,3,627,4,40.77362,-73.959874,627_4
294,77 St,3,627,6,40.77362,-73.959874,627_6
295,77 St,3,R43,R,40.629742,-74.02551,R43_R
296,79 St,4,122,1,40.783934,-73.979917,122_1
297,79 St,4,122,2,40.783934,-73.979917,122_2
298,79 St,4,122,5,40.783934,-73.979917,122_5
299,79 St,4,B18,D,40.613501,-74.00061,B18_D
300,8 Av,2,L01,L,40.739777,-74.002578,L01_L
301,8 Av,2,N02,N,40.635064,-74.011719,N02_N
302,8 St - NYU,4,R21,N,40.730328,-73.992629,R21_N
303,8 St - NYU,4,R21,Q,40.730328,-73.992629,R21_Q
304,8 St - NYU,4,R21,R,40.730328,-73.992629,R21_R
305,8 St - NYU,4,R21,W,40.730328,-73.992629,R21_W
306,80 St,1,A59,A,40.679371,-73.858992,A59_A
307,81 St - Museum of Natural History,3,A21,A,40.781433,-73.972143,A21_A
308,81 St - Museum of Natural History,3,A21,B,40.781433,-73.972143,A21_B
309,81 St - Museum of Natural History,3,A21,C,40.781433,-73.972143,A21_C
310,82 St - Jackson Hts,1,709,7,40.747659,-73.883697,709_7
311,85 St - Forest Pkwy,1,J16,J,40.692435,-73.86001,J16_J
312,86 St,15,121,1,40.788644,-73.976218,121_1
313,86 St,15,121,2,40.788644,-73.976218,121_2
314,86 St,15,626,2,40.779492,-73.955589,626_2
315,86 St,15,626,4,40.779492,-73.955589,626_4
316,86 St,15,121,5,40.788644,-73.976218,121_5
317,86 St,15,626,5,40.779492,-73.955589,626_5
318,86 St,15,626,6,40.779492,-73.955589,626_6
319,86 St,15,A20,A,40.785868,-73.968916,A20_A
320,86 St,15,A20,B,40.785868,-73.968916,A20_B
321,86 St,15,A20,C,40.785868,-73.968916,A20_C
322,86 St,15,N10,N,40.592721,-73.97823,N10_N
323,86 St,15,Q04,N,40.777891,-73.951787,Q04_N
324,86 St,15,Q04,Q,40.777891,-73.951787,Q04_Q
325,86 St,15,Q04,R,40.777891,-73.951787,Q04_R
326,86 St,15,R44,R,40.622687,-74.028398,R44_R
327,88 St,1,A60,A,40.679843,-73.85147,A60_A
328,9 Av,1,B12,D,40.646292,-73.994324,B12_D
329,9 St,3,R33,D,40.670847,-73.988302,R33_D
330,9 St,3,R33,N,40.670847,-73.988302,R33_N
331,9 St,3,R33,R,40.670847,-73.988302,R33_R
332,90 St - Elmhurst Av,1,708,7,40.748408,-73.876613,708_7
333,96 St,12,120,1,40.793919,-73.972323,120_1
334,96 St,12,120,2,40.793919,-73.972323,120_2
335,96 St,12,120,3,40.793919,-73.972323,120_3
336,96 St,12,625,4,40.785672,-73.95107,625_4
337,96 St,12,120,5,40.793919,-73.972323,120_5
338,96 St,12,625,6,40.785672,-73.95107,625_6
339,96 St,12,A19,A,40.791642,-73.964696,A19_A
340,96 St,12,A19,B,40.791642,-73.964696,A19_B
341,96 St,12,A19,C,40.791642,-73.964696,A19_C
342,96 St,12,Q05,N,40.784318,-73.947152,Q05_N
343,96 St,12,Q05,Q,40.784318,-73.947152,Q05_Q
344,96 St,12,Q05,R,40.784318,-73.947152,Q05_R
345,Alabama Av,1,J24,J,40.676992,-73.898654,J24_J
346,Allerton Av,2,210,2,40.865462,-73.867352,210_2
347,Allerton Av,2,210,5,40.865462,-73.867352,210_5
348,Annadale,1,S17,SI,40.54046,-74.178217,S17_SI
349,Aqueduct - N Conduit Av,1,H02,A,40.668234,-73.834058,H02_A
350,Aqueduct Racetrack,1,H01,A,40.668234,-73.834058,H01_A
351,Arthur Kill,1,S11,SI,40.516578,-74.242096,S11_SI
352,Astor Pl,2,636,4,40.730054,-73.99107,636_4
353,Astor Pl,2,636,6,40.730054,-73.99107,636_6
354,Astoria - Ditmars Blvd,2,R01,N,40.775036,-73.912034,R01_N
355,Astoria - Ditmars Blvd,2,R01,W,40.775036,-73.912034,R01_W
356,Astoria Blvd,2,R03,N,40.770258,-73.917843,R03_N
357,Astoria Blvd,2,R03,W,40.770258,-73.917843,R03_W
358,Atlantic Av,1,L24,L,40.675345,-73.903097,L24_L
359,Atlantic Av - Barclays Ctr,9,235,2,40.684359,-73.977666,235_2
360,Atlantic Av - Barclays Ctr,9,235,3,40.684359,-73.977666,235_3
361,Atlantic Av - Barclays Ctr,9,235,4,40.684359,-73.977666,235_4
362,Atlantic Av - Barclays Ctr,9,235,5,40.684359,-73.977666,235_5
363,Atlantic Av - Barclays Ctr,9,D24,B,40.68446,-73.97689,D24_B
364,Atlantic Av - Barclays Ctr,9,R31,D,40.683666,-73.97881,R31_D
365,Atlantic Av - Barclays Ctr,9,R31,N,40.683666,-73.97881,R31_N
366,Atlantic Av - Barclays Ctr,9,D24,Q,40.68446,-73.97689,D24_Q
367,Atlantic Av - Barclays Ctr,9,R31,R,40.683666,-73.97881,R31_R
368,Avenue H,1,D32,Q,40.62927,-73.961639,D32_Q
369,Avenue I,1,F31,F,40.625322,-73.976127,F31_F
370,Avenue J,1,D33,Q,40.625039,-73.960803,D33_Q
371,Avenue M,1,D34,Q,40.617618,-73.959399,D34_Q
372,Avenue N,1,F33,F,40.61514,-73.974197,F33_F
373,Avenue P,1,F34,F,40.608944,-73.973022,F34_F
374,Avenue U,3,F36,F,40.596063,-73.973357,F36_F
375,Avenue U,3,N09,N,40.597473,-73.979137,N09_N
376,Avenue U,3,D37,Q,40.5993,-73.955929,D37_Q
377,Avenue X,1,F38,F,40.58962,-73.97425,F38_F
378,Bay 50 St,1,B23,D,40.588841,-73.983765,B23_D
379,Bay Pkwy,3,B21,D,40.601875,-73.993728,B21_D
380,Bay Pkwy,3,F32,F,40.620769,-73.975264,F32_F
381,Bay Pkwy,3,N07,N,40.611815,-73.981848,N07_N
382,Bay Ridge - 95 St,1,R45,R,40.616622,-74.030876,R45_R
383,Bay Ridge Av,1,R42,R,40.634967,-74.023377,R42_R
